seed,combo,drivers,orderRate,matchR,rebalR,thresh,timeout,ss_success_pct,ss_cancel_per_min,ss_completed_per_min,ss_match_per_sec,est_wait_s,avg_queue,p95_queue,max_queue,avg_idle_frac,avg_enroute,avg_ontrip,avg_rebal,rebal_events_per_min,avg_alert_cells,p90_alert_cells,max_alert_cells,max_pending_obs,eta_mean_s,eta_p90_s,traffic_share_pct,avg_traffic_factor,avg_grid_traffic,avg_traffic_cells15,avg_traffic_cells25,generated_total,cancelled_total,completed_total
42,r6_d30_t1_w20,100,5-10,6,30,1,20,48.175726,232.000000,216.444444,3.594444,30.476792,109.547135,136,146,0.299778,15.179298,50.275416,4.567468,133.700000,12.133087,17,18,24,4.083349,7,52.885525,1.750454,1.010735,129.271719,42.717190,4487,2239,2073
42,r3_d30_t1_w15,100,5-10,3,30,1,15,43.168714,251.888889,191.777778,3.188889,26.985451,86.053604,112,122,0.393660,10.663586,44.811460,5.158965,150.300000,10.345656,15,18,22,3.245644,6,67.664351,1.997296,1.010735,129.271719,42.717190,4469,2483,1839
42,r3_d30_t1_w20,100,5-10,3,30,1,20,45.642648,248.111111,206.666667,3.472222,32.932081,114.347505,146,160,0.347209,11.268022,48.330869,5.680222,164.300000,12.134935,17,18,26,3.132477,6,61.492832,1.911775,1.010735,129.271719,42.717190,4578,2426,1982
42,r6_d30_t1_w15,100,5-10,6,30,1,15,45.520339,242.555556,201.555556,3.377778,24.971301,84.347505,105,118,0.342144,14.125693,47.303142,4.356747,127.000000,10.639556,15,18,19,4.072403,7,56.347215,1.806407,1.010735,129.271719,42.717190,4450,2368,1942
42,r6_d30_t1_w25,100,5-10,6,30,1,25,51.708767,216.666667,231.666667,3.866667,34.233539,132.369686,159,174,0.244843,16.560074,54.255083,4.700555,137.300000,13.669131,18,18,26,4.133466,7,45.518764,1.644172,1.010735,129.271719,42.717190,4491,2076,2209
42,r6_d30_t2_w20,100,5-10,6,30,2,20,46.711343,238.555556,208.111111,3.485185,31.679379,110.408503,133,144,0.315009,15.070240,49.153420,4.275416,125.900000,11.182994,16,18,23,4.184021,7,51.189898,1.730816,1.010735,129.271719,42.717190,4496,2302,2004
42,r6_d20_t1_w20,100,5-10,6,20,1,20,38.299455,276.555556,171.444444,2.861111,40.694866,116.432532,138,146,0.437745,12.695009,40.384473,3.146026,91.000000,12.709797,18,18,25,4.307249,7,46.999406,1.668247,1.010735,129.271719,42.717190,4514,2694,1646
42,ctrl_d1_t5_w20,100,5-10,5,1,5,20,16.872225,374.444444,77.000000,1.266667,104.823426,132.776340,148,159,0.757412,6.608133,17.650647,0.000000,0.000000,9.486137,11,15,27,4.946787,7,16.580977,1.103907,1.010735,129.271719,42.717190,4514,3595,762
42,pure_default,100,5-10,3,10,2,10,15.129611,378.333333,68.111111,1.124074,61.403588,69.022181,81,89,0.790018,3.957486,15.946396,1.094270,33.400000,8.924214,10,15,19,3.366038,5,43.541364,1.635225,1.010735,129.271719,42.717190,4463,3695,672
