seed,combo,drivers,orderRate,matchR,rebalR,thresh,timeout,ss_success_pct,ss_cancel_per_min,ss_completed_per_min,ss_match_per_sec,est_wait_s,avg_queue,p95_queue,max_queue,avg_idle_frac,avg_enroute,avg_ontrip,avg_rebal,rebal_events_per_min,avg_alert_cells,p90_alert_cells,max_alert_cells,max_pending_obs,eta_mean_s,eta_p90_s,traffic_share_pct,avg_traffic_factor,avg_grid_traffic,avg_traffic_cells15,avg_traffic_cells25,generated_total,cancelled_total,completed_total
42,r3_d30_t1_w15,100,5-10,3,30,1,15,58.820552,180.777778,258.666667,4.303704,18.467522,79.478743,97,110,0.089704,8.658041,60.367837,22.003697,668.000000,17.693161,24,31,21,2.681286,6,52.189074,1.765506,1.010735,129.271719,42.717190,4417,1745,2517
42,r6_d30_t1_w15,100,5-10,6,30,1,15,58.994246,182.111111,261.333333,4.366667,19.014406,83.029575,99,106,0.115009,8.756007,60.942699,18.800370,573.900000,16.846580,23,29,20,3.388676,7,46.327467,1.648982,1.010735,129.271719,42.717190,4463,1754,2543
42,r3_d30_t1_w20,100,5-10,3,30,1,20,59.123724,182.444444,264.222222,4.398148,24.605382,108.218115,132,146,0.093124,8.804067,62.282810,19.600739,604.800000,19.689464,25,36,25,2.521894,5,43.901515,1.646492,1.010735,129.271719,42.717190,4497,1719,2573
42,r5_d30_t1_w20,100,5-10,5,30,1,20,61.172977,174.333333,275.111111,4.577778,22.807279,104.406654,126,135,0.083789,9.164510,64.033272,18.423290,562.600000,19.024030,25,31,22,2.976022,6,44.087591,1.621427,1.010735,129.271719,42.717190,4475,1616,2692
42,r6_d30_t1_w20,100,5-10,6,30,1,20,59.682152,183.222222,271.222222,4.520370,23.915973,108.109057,127,135,0.100407,9.038817,63.053604,17.866913,546.600000,18.597043,25,29,26,3.297436,6,43.180974,1.616403,1.010735,129.271719,42.717190,4549,1736,2631
42,r3_d30_t1_w25,100,5-10,3,30,1,25,62.902427,166.444444,282.444444,4.703704,26.948521,126.757856,148,157,0.052976,9.423290,65.776340,19.502773,602.500000,22.090573,27,35,24,2.456898,5,40.392157,1.597889,1.010735,129.271719,42.717190,4483,1565,2737
42,r6_d30_t1_w25,100,5-10,6,30,1,25,61.570758,172.888889,277.888889,4.616667,27.651161,127.656192,150,164,0.085157,9.236599,65.380776,16.866913,520.700000,20.979667,26,35,25,3.445018,7,39.709091,1.560505,1.010735,129.271719,42.717190,4517,1631,2693
