seed,combo,drivers,orderRate,matchR,rebalR,thresh,timeout,ss_success_pct,ss_cancel_per_min,ss_completed_per_min,ss_match_per_sec,est_wait_s,avg_queue,p95_queue,max_queue,avg_idle_frac,avg_enroute,avg_ontrip,avg_rebal,rebal_events_per_min,avg_alert_cells,p90_alert_cells,max_alert_cells,max_pending_obs,eta_mean_s,eta_p90_s,traffic_share_pct,avg_traffic_factor,avg_grid_traffic,avg_traffic_cells15,avg_traffic_cells25,generated_total,cancelled_total,completed_total
20260906,r6_d30_t1_w20,100,5-10,6,30,1,20,48.686515,227.888889,216.444444,3.603704,29.615762,106.726433,136,145,0.299871,15.340111,50.038817,4.634011,138.300000,12.055453,17,18,23,4.096382,7,52.161654,1.744563,1.010735,129.271719,42.717190,4441,2184,2087
20260906,r3_d30_t1_w15,100,5-10,3,30,1,15,42.062714,262.777778,190.555556,3.179630,27.823838,88.469501,112,118,0.400555,10.543438,44.373383,5.027726,148.600000,10.467652,15,18,20,3.195440,6,65.800636,1.973934,1.010735,129.271719,42.717190,4529,2538,1853
20260906,r3_d30_t1_w20,100,5-10,3,30,1,20,46.231527,242.555556,208.222222,3.475926,32.337027,112.401109,142,149,0.344196,11.513863,48.491682,5.574861,163.200000,11.846580,17,18,27,3.179317,6,61.121951,1.899937,1.010735,129.271719,42.717190,4529,2336,2011
20260906,r6_d30_t1_w15,100,5-10,6,30,1,15,44.477318,250.222222,200.444444,3.340741,25.392555,84.829945,105,114,0.349704,14.277264,46.436229,4.316081,127.400000,10.841035,15,18,21,4.089316,7,56.455696,1.811352,1.010735,129.271719,42.717190,4497,2434,1935
20260906,r6_d30_t1_w25,100,5-10,6,30,1,25,51.988072,214.666667,231.777778,3.874074,34.422870,133.356747,164,177,0.251664,15.524954,54.327172,4.981516,146.000000,13.868762,18,19,25,3.882946,7,45.769399,1.660167,1.010735,129.271719,42.717190,4485,2040,2223
20260906,r6_d30_t2_w20,100,5-10,6,30,2,20,48.250551,235.000000,219.666667,3.651852,30.564596,111.617375,138,149,0.285952,15.425139,51.491682,4.487985,133.000000,11.179298,16,18,25,4.095155,7,51.499769,1.741380,1.010735,129.271719,42.717190,4565,2249,2116
20260906,r6_d20_t1_w20,100,5-10,6,20,1,20,37.581779,286.222222,172.444444,2.872222,41.203517,118.345656,141,155,0.437227,12.972274,40.123845,3.181146,93.900000,12.733826,18,19,26,4.348415,7,48.415493,1.692048,1.010735,129.271719,42.717190,4600,2772,1668
20260906,ctrl_d1_t5_w20,100,5-10,5,1,5,20,14.801718,374.777778,65.333333,1.085185,121.493442,131.842884,142,148,0.789094,5.813309,15.277264,0.000000,0.000000,9.473198,12,16,26,5.117937,7,17.040359,1.122930,1.010735,129.271719,42.717190,4428,3625,644
20260906,pure_default,100,5-10,3,10,2,10,16.526264,374.333333,75.111111,1.235185,55.523865,68.582255,77,82,0.774935,4.319778,17.064695,1.121996,35.400000,8.946396,10,15,17,3.287533,5,41.601050,1.610787,1.010735,129.271719,42.717190,4501,3670,746
