seed,combo,drivers,orderRate,matchR,rebalR,thresh,timeout,ss_success_pct,ss_cancel_per_min,ss_completed_per_min,ss_match_per_sec,est_wait_s,avg_queue,p95_queue,max_queue,avg_idle_frac,avg_enroute,avg_ontrip,avg_rebal,rebal_events_per_min,avg_alert_cells,p90_alert_cells,max_alert_cells,max_pending_obs,eta_mean_s,eta_p90_s,traffic_share_pct,avg_traffic_factor,avg_grid_traffic,avg_traffic_cells15,avg_traffic_cells25,generated_total,cancelled_total,completed_total
20260808,final_balanced,160,5-8,6,30,1,25,99.471831,2.000000,379.111111,6.277778,7.830632,49.158965,78,100,0.204610,12.547135,88.197782,26.517560,795.700000,14.155268,20,26,19,3.271680,6,55.516965,1.803810,1.010735,129.271719,42.717190,3861,18,3691
20260808,final_balanced_to12,160,5-8,6,30,1,12,90.142045,38.555556,352.333333,5.875926,6.051510,35.558226,62,70,0.244547,11.785582,82.284658,26.802218,815.500000,11.957486,17,21,15,3.471725,6,64.251208,1.939230,1.010735,129.271719,42.717190,3940,368,3442
20260808,final_balanced_r8,160,5-8,8,30,1,25,98.296275,6.555556,379.111111,6.303704,7.103180,44.776340,73,94,0.225751,12.619224,88.789279,22.471349,668.700000,13.391867,20,26,15,4.142769,8,54.807433,1.764142,1.010735,129.271719,42.717190,3831,59,3639
20260808,final_roomy,190,5-8,6,30,1,25,100.000000,0.000000,391.888889,6.564815,3.850697,25.279113,56,73,0.289007,13.151571,92.184843,29.752311,872.700000,10.066543,15,22,13,3.348201,6,67.095116,1.972100,1.010735,129.271719,42.717190,3941,0,3793
20260808,final_busy,260,10-14,7,30,1,25,96.693325,23.888889,695.666667,11.642593,10.750570,125.164510,158,184,0.118882,23.317930,163.436229,42.336414,1236.200000,19.837338,26,32,32,3.908202,7,47.554189,1.670956,1.010735,129.271719,42.717190,7238,215,6696
20260808,drama_show,130,8-14,6,30,1,20,54.770318,298.666667,361.000000,6.027778,26.792167,161.497227,192,208,0.055894,12.072089,85.086876,25.574861,780.800000,21.232902,27,34,31,3.451526,7,43.146504,1.602883,1.010735,129.271719,42.717190,6634,2829,3522
20260808,calm_narrate,130,3-5,6,20,2,20,74.821514,58.777778,175.333333,2.911111,11.608909,33.794824,61,72,0.604777,5.852126,41.231054,4.295749,125.900000,6.493530,10,13,15,3.887769,7,68.083867,1.973500,1.010735,129.271719,42.717190,2358,576,1689
