seed,combo,drivers,orderRate,matchR,rebalR,thresh,timeout,ss_success_pct,ss_cancel_per_min,ss_completed_per_min,ss_match_per_sec,est_wait_s,avg_queue,p95_queue,max_queue,avg_idle_frac,avg_enroute,avg_ontrip,avg_rebal,rebal_events_per_min,avg_alert_cells,p90_alert_cells,max_alert_cells,max_pending_obs,eta_mean_s,eta_p90_s,traffic_share_pct,avg_traffic_factor,avg_grid_traffic,avg_traffic_cells15,avg_traffic_cells25,generated_total,cancelled_total,completed_total
20260808,balanced_thr2,160,5-8,6,30,2,25,80.872768,75.000000,316.888889,5.285185,12.276495,64.883549,98,115,0.420194,10.589649,74.689464,7.489834,219.200000,9.426987,14,19,23,3.745232,7,60.889175,1.855358,1.010735,129.271719,42.717190,3910,727,3033
20260808,busy_thr2,260,10-14,7,30,2,25,79.531178,148.444444,573.555556,9.612963,13.468605,129.473198,182,226,0.353562,19.240296,135.465804,13.367837,384.600000,12.262477,18,18,32,3.811405,7,54.415445,1.760438,1.010735,129.271719,42.717190,7208,1467,5478
20260808,drama_thr2,130,8-14,6,30,2,20,47.291139,347.000000,310.000000,5.188889,31.111195,161.432532,195,208,0.317034,10.384473,71.948244,6.452865,187.700000,13.086876,18,18,31,4.075829,7,48.604269,1.697330,1.010735,129.271719,42.717190,6594,3355,2977
20260808,calm_r10,130,3-5,10,20,2,30,79.644361,48.333333,188.666667,3.151852,13.910785,43.844732,74,87,0.578899,6.306839,44.473198,3.963031,115.500000,8.685767,13,18,13,5.159507,10,59.989288,1.797509,1.010735,129.271719,42.717190,2386,473,1819
