seed,combo,drivers,orderRate,matchR,rebalR,thresh,timeout,ss_success_pct,ss_cancel_per_min,ss_completed_per_min,ss_match_per_sec,est_wait_s,avg_queue,p95_queue,max_queue,avg_idle_frac,avg_enroute,avg_ontrip,avg_rebal,rebal_events_per_min,avg_alert_cells,p90_alert_cells,max_alert_cells,max_pending_obs,eta_mean_s,eta_p90_s,traffic_share_pct,avg_traffic_factor,avg_grid_traffic,avg_traffic_cells15,avg_traffic_cells25,generated_total,cancelled_total,completed_total
20260906,final_balanced,160,5-8,6,30,1,25,98.432056,6.000000,376.888889,6.277778,7.598613,47.702403,83,98,0.195541,12.565619,87.846580,28.301294,856.700000,14.166359,20,25,17,3.411446,7,56.456777,1.817489,1.010735,129.271719,42.717190,3861,54,3663
20260906,final_roomy,190,5-8,6,30,1,25,100.000000,0.000000,384.333333,6.407407,4.514472,28.926063,58,67,0.278120,12.900185,90.510166,33.746765,1010.800000,11.184843,16,22,13,3.293114,6,63.458529,1.921015,1.010735,129.271719,42.717190,3877,0,3737
20260906,final_busy,260,10-14,7,30,1,25,95.824926,29.888889,685.888889,11.433333,10.638220,121.630314,164,200,0.138945,22.887246,160.523105,40.463956,1196.800000,18.968577,24,31,29,3.825325,7,48.286052,1.680824,1.010735,129.271719,42.717190,7205,269,6626
20260906,drama_show,130,8-14,6,30,1,20,55.440949,288.000000,357.888889,5.972222,26.501311,158.271719,187,201,0.060515,11.988909,84.650647,25.493530,781.700000,21.068392,27,35,31,3.380926,7,42.024540,1.587158,1.010735,129.271719,42.717190,6507,2745,3498
