seed,combo,drivers,orderRate,matchR,rebalR,thresh,timeout,ss_success_pct,ss_cancel_per_min,ss_completed_per_min,ss_match_per_sec,est_wait_s,avg_queue,p95_queue,max_queue,avg_idle_frac,avg_enroute,avg_ontrip,avg_rebal,rebal_events_per_min,avg_alert_cells,p90_alert_cells,max_alert_cells,max_pending_obs,eta_mean_s,eta_p90_s,traffic_share_pct,avg_traffic_factor,avg_grid_traffic,avg_traffic_cells15,avg_traffic_cells25,generated_total,cancelled_total,completed_total
20260808,r3_d30_t1_w15,100,5-10,3,30,1,15,58.913960,184.111111,264.444444,4.400000,19.210637,84.526802,100,114,0.093604,8.804067,61.186691,20.648799,632.700000,18.060998,24,29,20,2.553530,6,47.753869,1.711178,1.010735,129.271719,42.717190,4500,1759,2587
20260808,r6_d30_t1_w15,100,5-10,6,30,1,15,57.726820,188.444444,256.444444,4.288889,18.994187,81.463956,101,107,0.123105,8.580407,60.637708,18.471349,566.700000,16.611830,23,28,21,3.558814,7,50.883392,1.689886,1.010735,129.271719,42.717190,4485,1840,2481
20260808,r3_d30_t1_w20,100,5-10,3,30,1,20,58.917589,185.555556,270.222222,4.435185,23.639313,104.844732,129,139,0.071146,8.898336,63.308688,20.678373,635.000000,19.887246,26,32,23,2.539249,6,45.052083,1.657247,1.010735,129.271719,42.717190,4535,1732,2643
20260808,r5_d30_t1_w20,100,5-10,5,30,1,20,59.548355,183.111111,271.777778,4.492593,23.840435,107.105360,129,138,0.091978,8.979667,63.199630,18.622921,566.300000,19.129390,25,29,24,3.018614,6,46.369333,1.679893,1.010735,129.271719,42.717190,4534,1701,2663
20260808,r6_d30_t1_w20,100,5-10,6,30,1,20,60.462227,176.777778,268.000000,4.505556,22.610000,101.870610,126,132,0.090148,9.033272,62.465804,19.486137,591.700000,19.171904,25,30,26,3.294432,6,44.357250,1.641211,1.010735,129.271719,42.717190,4490,1698,2596
20260808,r3_d30_t1_w25,100,5-10,3,30,1,25,61.892023,174.111111,283.777778,4.712963,28.502032,134.329020,156,163,0.057486,9.513863,66.362292,18.375231,573.700000,22.036969,27,32,27,2.376164,5,39.139633,1.582451,1.010735,129.271719,42.717190,4593,1620,2764
20260808,r6_d30_t1_w25,100,5-10,6,30,1,25,63.891675,160.000000,284.666667,4.718519,26.343288,124.301294,148,159,0.071756,9.467652,66.584104,16.772643,518.900000,19.883549,24,30,24,3.145030,6,41.432134,1.593783,1.010735,129.271719,42.717190,4450,1518,2746
