seed,combo,drivers,orderRate,matchR,rebalR,thresh,timeout,ss_success_pct,ss_cancel_per_min,ss_completed_per_min,ss_match_per_sec,est_wait_s,avg_queue,p95_queue,max_queue,avg_idle_frac,avg_enroute,avg_ontrip,avg_rebal,rebal_events_per_min,avg_alert_cells,p90_alert_cells,max_alert_cells,max_pending_obs,eta_mean_s,eta_p90_s,traffic_share_pct,avg_traffic_factor,avg_grid_traffic,avg_traffic_cells15,avg_traffic_cells25,generated_total,cancelled_total,completed_total
20260808,healthy_std,150,5-8,6,15,1,12,51.424542,191.333333,203.000000,3.375926,16.053650,54.195933,70,76,0.558398,6.798521,48.005545,11.436229,339.300000,13.025878,18,22,17,3.641323,7,51.864744,1.722730,1.010735,129.271719,42.717190,3941,1876,1956
20260808,healthy_roomy,170,5-8,6,15,1,12,57.775255,165.333333,225.888889,3.770370,13.773609,51.931608,69,74,0.576101,7.539741,53.146026,11.377079,352.400000,12.463956,17,22,17,3.993647,7,52.751678,1.710886,1.010735,129.271719,42.717190,3918,1625,2194
20260808,healthy_wide,150,5-8,8,15,1,12,51.170760,190.000000,198.444444,3.318519,16.776410,55.672828,67,71,0.601935,6.648799,46.918669,6.142329,175.400000,12.243993,18,21,16,4.749619,9,52.669039,1.697438,1.010735,129.271719,42.717190,3894,1868,1915
20260808,healthy_thr2,150,5-8,6,15,2,12,45.232625,211.888889,174.777778,2.916667,20.325535,59.282810,70,75,0.662785,5.852126,41.221811,3.508318,103.100000,9.744917,13,16,15,4.237716,7,55.305652,1.787572,1.010735,129.271719,42.717190,3877,2083,1690
20260808,busy_alive,250,10-14,7,15,1,12,49.404486,363.444444,354.222222,5.914815,17.293585,102.288355,124,130,0.567068,11.841035,82.689464,13.702403,401.600000,14.049908,21,25,23,4.472440,8,49.232082,1.628436,1.010735,129.271719,42.717190,7198,3574,3435
20260808,mild_drama,130,8-14,6,15,1,12,35.730936,428.888889,235.666667,3.974074,26.299852,104.517560,119,125,0.399986,7.970425,55.813309,14.218115,423.300000,16.268022,23,28,22,3.566850,7,37.044877,1.494445,1.010735,129.271719,42.717190,6693,4224,2299
20260808,drama_surge,120,10-16,6,15,1,12,29.774800,547.444444,231.888889,3.868519,32.679072,126.419593,141,148,0.353343,7.756007,55.778189,14.064695,418.900000,17.390018,24,34,26,3.355102,7,29.222753,1.382775,1.010735,129.271719,42.717190,7809,5369,2244
20260808,calm_talk2,120,3-5,8,10,2,15,36.276304,154.777778,88.666667,1.468519,33.142912,48.670980,56,60,0.791405,2.948244,20.861368,1.221811,36.800000,9.565619,12,16,13,5.270838,9,40.558659,1.531274,1.010735,129.271719,42.717190,2432,1491,876
20260808,calm_talk_r5,120,3-5,5,10,2,15,33.658763,158.555556,81.000000,1.340741,37.407247,50.153420,57,62,0.805068,2.702403,19.219963,1.469501,44.800000,9.735675,13,16,13,4.071111,7,48.641975,1.699494,1.010735,129.271719,42.717190,2394,1536,790
